中国电信浙江公司宁波市分公司客户分户帐单,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
帐户名称,镇海石化工业贸易有限责任公司,,,,,,,,,,,,,,,
帐户号码,2.74102E+12,计费周期,2011年5月,打印日期,2011年7月7日,,,,,,,,,,,
帐单投递地址,俞范工贸公司,,,,,,,,,,,,,,,
用户号码,月基本费,增值业务费,本地话费,虚拟网话费,长话费,短信费,漫游费,互联网使用费,信息费,数据业务费,网元租用费,优惠(补足)费,代收费,业务受理费,其他费,合计
固话,,,,,,,,,,,,,,,,
86441146,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,16.1
11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111,11111
86441340,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,15.7
86441448,0,0,74.4,0,0,0,0,0,0,0,0,0,0,0,0,74.4
86441944,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,11.3
86442137,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2
86442145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86442234,0,0,0.4,0,0,0,0,0,1.2,0,0,0,0,0,0,1.6
86442540,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,24.4
86442714,0,0,6.9,0,6,0,0,0,0,0,0,0,0,0,0,12.9
86442794,0,0,2.4,0,17.4,0,0,0,0,0,0,0,0,0,0,19.8
86442834,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6
86442984,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
86443240,0,0,89.4,0,0,0,0,0,0,0,0,0,0,0,0,89.4
86443664,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1.8
86443740,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14
86443763,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,25.5
86443940,0,0,109.9,0,0,0,0,0,0,0,0,0,0,0,0,109.9
86443941,0,0,41.8,0,0,0,0,0,0,0,0,0,0,0,0,41.8
86444100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444143,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,18.6
86444161,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,35.1
86444194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444427,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86444428,0,0,34.8,0,11.4,0,0,0,0,0,0,0,0,0,0,46.2
86444434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444436,0,2.4,17.2,0,0,0,0,0,0,0,0,0,0,0,0,19.6
86444451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444491,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,29
86444511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444539,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1.8
86444549,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86444596,0,0,27,0,30.3,0,0,0,0,0,0,0,0,0,0,57.3
86444605,0,0,3.6,0,7.5,0,0,0,0,0,0,0,0,0,0,11.1
86444637,0,0,19.9,0,44.7,0,0,0,0,0,0,0,0,0,0,64.6
86444639,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6.2
86444655,0,0,8.3,0,10.5,0,0,0,0,0,0,0,0,0,0,18.8
86444664,0,0,51.2,0,0,0,0,0,0,0,0,0,0,0,0,51.2
86444673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444677,0,0,3.4,0,5.4,0,0,0,0,0,0,0,0,0,0,8.8
86444689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444714,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
86444732,0,0,21.9,0,11.1,0,0,0,0,0,0,0,0,0,0,33
86444737,0,0,2.3,0,6.3,0,0,0,0,0,0,0,0,0,0,8.6
86444745,0,0,52,0,53.4,0,0,0,0,0,0,0,0,0,0,105.4
86444798,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86444861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444874,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,13.7
86444909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444941,0,0,24.6,0,40.2,0,0,0,0,0,0,0,0,0,0,64.8
86444951,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,7.4
86444955,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,5.9
86444976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86444991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445004,0,0,11.9,0,14.4,0,0,0,0,0,0,0,0,0,0,26.3
86445009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445059,0,0,30.8,0,60.3,0,0,0,0,0,0,0,0,0,0,91.1
86445062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445065,0,0,9,0,81.9,0,0,0,0,0,0,0,0,0,0,90.9
86445075,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.1
86445087,0,0,81.3,0,126,0,0,0,0,0,0,0,0,0,0,207.3
86445103,0,0,15,0,35.7,0,0,0,0,0,0,0,0,0,0,50.7
86445121,0,0,15.1,0,7.5,0,0,0,0,0,0,0,0,0,0,22.6
86445136,0,0,37.4,0,0,0,0,0,13.2,0,0,0,0,0,0,50.6
86445140,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,7.2
86445143,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,14.4
86445145,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2
86445146,0,0,0.5,0,34.5,0,0,0,0,0,0,0,0,0,0,35
86445213,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,8.8
86445252,0,0,64.6,0,0,0,0,0,0,0,0,0,0,0,0,64.6
86445254,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
86445264,0,0,23.7,0,42.3,0,0,0,0,0,0,0,0,0,0,66
86445270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445274,0,6,9.2,0,0,0,0,0,3,0,0,0,0,0,0,18.2
86445283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445293,0,0,8.8,0,5.4,0,0,0,0,0,0,0,0,0,0,14.2
86445307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445323,0,0,16.2,0,2.4,0,0,0,0,0,0,0,0,0,0,18.6
86445358,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,2.2
86445368,0,0,0.6,0,0,0,0,0,2.4,0,0,0,0,0,0,3
86445375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445420,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2
86445424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445493,0,0,31.6,0,74.1,0,0,0,0,0,0,0,0,0,0,105.7
86445501,0,0,6.1,0,16.2,0,0,0,0,0,0,0,0,0,0,22.3
86445518,0,0,93.4,0,18,0,0,0,7.2,0,0,0,0,0,0,118.6
86445540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445556,0,0,2.4,0,9.3,0,0,0,0,0,0,0,0,0,0,11.7
86445582,0,4,22.8,0,0,0,0,0,0,0,0,0,0,0,0,26.8
86445623,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1.8
86445668,0,0,1.6,0,6.9,0,0,0,0,0,0,0,0,0,0,8.5
86445698,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
86445718,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,3.8
86445745,0,0,34.8,0,5.1,0,0,0,0,0,0,0,0,0,0,39.9
86445749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445761,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,8.8
86445782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445841,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,10.9
86445864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445972,0,0,62.4,0,0,0,0,0,0,0,0,0,0,0,0,62.4
86446020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86446021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86446022,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,14.7
86446023,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86446026,0,0,20.4,0,9.9,0,0,0,0,0,0,0,0,0,0,30.3
86446028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86446045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86446137,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86446227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86448057,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,8.9
86448224,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,9.6
86448228,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,5.7
86448302,0,0,39.8,0,0,0,0,0,0,0,0,0,0,0,0,39.8
86448313,0,0.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,6.9
86448328,0,1.8,61.8,0,0,0,0,0,0,0,0,0,0,0,0,63.6
86448353,0,0,19.2,0,129,0,0,0,0,0,0,0,0,0,0,148.2
86449010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449021,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.6
86449023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449082,0,0,2.2,0,0,0,0,0,4.2,0,0,0,0,0,0,6.4
86449083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449085,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,14.4
86449087,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86449089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449091,0,0,5.3,0,1.2,0,0,0,0,0,0,0,0,0,0,6.5
86449103,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6
86449104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449494,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6
86449550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449556,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2
86449621,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,17.9
86449622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86464391,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
86465252,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
86465293,0,10,2.9,0,0,0,0,0,0,0,0,0,0,0,0,12.9
总计：,月基本费:,70,增值业务费:,24.4,本地话费:,1673.2,虚拟网话费:,0,,,,,,,,
,长话费:,939.3,短信费:,0,漫游费:,0,互联网使用费:,0,,,,,,,,
,信息费:,55.2,数据业务费:,0,网元租用费:,0,优惠(补足)费:,0,,,,,,,,
,代收费:,0,业务受理费:,0,其他费:,0,合计:,2762.1,,,,,,,,
,,,,,,,,,,,,,,,,
说明,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
其他费包括补退费、调帐费和其他费,,,,,,,,,,,,,,,,
